ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11225003,JB144163,1/16/18 12:00,053XX N LINCOLN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,FALSE,FALSE,2011,20,40,4,11,,,2018,2/8/18 15:51,,,
11224997,JB144124,1/31/18 13:30,006XX E 51ST ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,223,2,4,38,11,,,2018,2/8/18 15:51,,,
11224979,JB144109,1/24/18 13:00,029XX W BELMONT AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1733,17,33,21,6,,,2018,2/8/18 15:51,,,
11224977,JB144023,1/5/18 17:00,021XX W HURON ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1221,12,1,24,6,,,2018,2/8/18 15:51,,,
11224970,JB143984,1/28/18 1:00,083XX S ST LAWRENCE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,632,6,6,44,26,,,2018,2/8/18 15:51,,,
11224953,JB144082,1/6/18 3:00,031XX S DR MARTIN LUTHER KING JR DR,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,211,2,2,35,08B,,,2018,2/8/18 15:51,,,
11224951,JB144059,1/29/18 13:00,022XX N HALSTED ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,ATHLETIC CLUB,FALSE,FALSE,1812,18,43,7,11,,,2018,2/8/18 15:51,,,
11224947,JB144043,1/27/18 2:48,030XX W FRANKLIN BLVD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,FALSE,FALSE,1221,12,27,23,11,,,2018,2/8/18 15:51,,,
11224946,JB143058,1/30/18 12:00,022XX E 99TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,FALSE,FALSE,431,4,7,51,11,,,2018,2/8/18 15:51,,,
11224944,JB144026,1/31/18 8:00,032XX W ADAMS ST,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1124,11,28,27,08A,,,2018,2/8/18 15:51,,,
11224934,JB143937,1/29/18 11:15,009XX S HOMAN AVE,810,THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1134,11,24,29,6,,,2018,2/8/18 15:51,,,
11224911,JB143941,2/1/18 8:00,026XX W WALTON ST,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1211,12,26,24,6,,,2018,2/8/18 15:51,,,
11224855,JB142772,2/1/18 8:20,015XX E 56TH ST,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,235,2,5,41,08A,,,2018,2/8/18 15:51,,,
11224737,JB143736,2/1/18 15:30,020XX N BURLING ST,460,BATTERY,SIMPLE,PARK PROPERTY,FALSE,FALSE,1812,18,43,7,08B,,,2018,2/8/18 15:51,,,
11224592,JB142958,2/1/18 19:45,033XX N ASHLAND AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,1922,19,44,6,6,1165066,1922064,2018,2/8/18 15:51,41.9417486,-87.66871808,"(41.941748603, -87.668718084)"
11224565,JB143314,2/1/18 8:00,040XX N CENTRAL PARK AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1723,17,33,16,6,1151668,1926693,2018,2/8/18 15:51,41.95472541,-87.71783933,"(41.954725414, -87.717839332)"
11224556,JB137815,2/1/18 14:00,041XX N ELSTON AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1723,17,39,16,6,,,2018,2/8/18 15:51,,,
